LYLTY_CARD_NBR,LIFESTAGE,PREMIUM_CUSTOMER
266302,MIDAGE SINGLES/COUPLES,Mainstream
266256,MIDAGE SINGLES/COUPLES,Mainstream
266250,MIDAGE SINGLES/COUPLES,Premium
266237,MIDAGE SINGLES/COUPLES,Premium
266226,MIDAGE SINGLES/COUPLES,Premium
266164,MIDAGE SINGLES/COUPLES,Premium
266159,MIDAGE SINGLES/COUPLES,Premium
266134,MIDAGE SINGLES/COUPLES,Mainstream
266129,MIDAGE SINGLES/COUPLES,Premium
266127,MIDAGE SINGLES/COUPLES,Premium
266109,MIDAGE SINGLES/COUPLES,Budget
266097,MIDAGE SINGLES/COUPLES,Mainstream
266072,MIDAGE SINGLES/COUPLES,Mainstream
266060,MIDAGE SINGLES/COUPLES,Mainstream
266058,MIDAGE SINGLES/COUPLES,Premium
266030,MIDAGE SINGLES/COUPLES,Premium
266021,MIDAGE SINGLES/COUPLES,Budget
266011,MIDAGE SINGLES/COUPLES,Budget
266007,MIDAGE SINGLES/COUPLES,Mainstream
266006,MIDAGE SINGLES/COUPLES,Premium
265471,MIDAGE SINGLES/COUPLES,Mainstream
265468,MIDAGE SINGLES/COUPLES,Premium
265463,MIDAGE SINGLES/COUPLES,Premium
265458,MIDAGE SINGLES/COUPLES,Budget
265457,MIDAGE SINGLES/COUPLES,Premium
265451,MIDAGE SINGLES/COUPLES,Mainstream
265434,MIDAGE SINGLES/COUPLES,Mainstream
265429,MIDAGE SINGLES/COUPLES,Budget
265418,MIDAGE SINGLES/COUPLES,Budget
265407,MIDAGE SINGLES/COUPLES,Premium
265399,MIDAGE SINGLES/COUPLES,Mainstream
265386,MIDAGE SINGLES/COUPLES,Premium
265372,MIDAGE SINGLES/COUPLES,Premium
265369,MIDAGE SINGLES/COUPLES,Mainstream
265364,MIDAGE SINGLES/COUPLES,Mainstream
265361,MIDAGE SINGLES/COUPLES,Premium
265351,MIDAGE SINGLES/COUPLES,Mainstream
265324,MIDAGE SINGLES/COUPLES,Mainstream
265316,MIDAGE SINGLES/COUPLES,Premium
265301,MIDAGE SINGLES/COUPLES,Premium
265300,MIDAGE SINGLES/COUPLES,Mainstream
265282,MIDAGE SINGLES/COUPLES,Budget
265256,MIDAGE SINGLES/COUPLES,Mainstream
265252,MIDAGE SINGLES/COUPLES,Premium
265249,MIDAGE SINGLES/COUPLES,Premium
265213,MIDAGE SINGLES/COUPLES,Mainstream
265209,MIDAGE SINGLES/COUPLES,Premium
265205,MIDAGE SINGLES/COUPLES,Premium
265181,MIDAGE SINGLES/COUPLES,Budget
265161,MIDAGE SINGLES/COUPLES,Premium
265151,MIDAGE SINGLES/COUPLES,Mainstream
265143,MIDAGE SINGLES/COUPLES,Mainstream
265139,MIDAGE SINGLES/COUPLES,Budget
265138,MIDAGE SINGLES/COUPLES,Premium
265137,MIDAGE SINGLES/COUPLES,Premium
265128,MIDAGE SINGLES/COUPLES,Premium
265124,MIDAGE SINGLES/COUPLES,Premium
265106,MIDAGE SINGLES/COUPLES,Mainstream
265087,MIDAGE SINGLES/COUPLES,Budget
265041,MIDAGE SINGLES/COUPLES,Mainstream
265011,MIDAGE SINGLES/COUPLES,Premium
264495,MIDAGE SINGLES/COUPLES,Premium
264475,MIDAGE SINGLES/COUPLES,Mainstream
264422,MIDAGE SINGLES/COUPLES,Premium
264405,MIDAGE SINGLES/COUPLES,Mainstream
264377,MIDAGE SINGLES/COUPLES,Mainstream
264369,MIDAGE SINGLES/COUPLES,Premium
264362,MIDAGE SINGLES/COUPLES,Premium
264359,MIDAGE SINGLES/COUPLES,Premium
264331,MIDAGE SINGLES/COUPLES,Budget
264329,MIDAGE SINGLES/COUPLES,Mainstream
264318,MIDAGE SINGLES/COUPLES,Premium
264286,MIDAGE SINGLES/COUPLES,Premium
264280,MIDAGE SINGLES/COUPLES,Premium
264274,MIDAGE SINGLES/COUPLES,Mainstream
264272,MIDAGE SINGLES/COUPLES,Budget
264238,MIDAGE SINGLES/COUPLES,Budget
264218,MIDAGE SINGLES/COUPLES,Premium
264207,MIDAGE SINGLES/COUPLES,Budget
264201,MIDAGE SINGLES/COUPLES,Premium
264200,MIDAGE SINGLES/COUPLES,Budget
264196,MIDAGE SINGLES/COUPLES,Budget
264177,MIDAGE SINGLES/COUPLES,Mainstream
264175,MIDAGE SINGLES/COUPLES,Mainstream
264171,MIDAGE SINGLES/COUPLES,Premium
264153,MIDAGE SINGLES/COUPLES,Mainstream
264151,MIDAGE SINGLES/COUPLES,Mainstream
264127,MIDAGE SINGLES/COUPLES,Mainstream
264109,MIDAGE SINGLES/COUPLES,Premium
264101,MIDAGE SINGLES/COUPLES,Budget
264068,MIDAGE SINGLES/COUPLES,Budget
264047,MIDAGE SINGLES/COUPLES,Premium
264044,MIDAGE SINGLES/COUPLES,Mainstream
264038,MIDAGE SINGLES/COUPLES,Premium
264019,MIDAGE SINGLES/COUPLES,Mainstream
263504,MIDAGE SINGLES/COUPLES,Premium
263427,MIDAGE SINGLES/COUPLES,Mainstream
263229,MIDAGE SINGLES/COUPLES,Premium
263172,MIDAGE SINGLES/COUPLES,Budget
263105,MIDAGE SINGLES/COUPLES,Premium
263006,MIDAGE SINGLES/COUPLES,Budget
262237,MIDAGE SINGLES/COUPLES,Budget
262233,MIDAGE SINGLES/COUPLES,Budget
262228,MIDAGE SINGLES/COUPLES,Mainstream
262196,MIDAGE SINGLES/COUPLES,Mainstream
262190,MIDAGE SINGLES/COUPLES,Premium
262152,MIDAGE SINGLES/COUPLES,Premium
262149,MIDAGE SINGLES/COUPLES,Premium
262148,MIDAGE SINGLES/COUPLES,Premium
262128,MIDAGE SINGLES/COUPLES,Budget
262126,MIDAGE SINGLES/COUPLES,Budget
262124,MIDAGE SINGLES/COUPLES,Mainstream
262082,MIDAGE SINGLES/COUPLES,Premium
262072,MIDAGE SINGLES/COUPLES,Premium
262066,MIDAGE SINGLES/COUPLES,Budget
262064,MIDAGE SINGLES/COUPLES,Mainstream
262059,MIDAGE SINGLES/COUPLES,Premium
262053,MIDAGE SINGLES/COUPLES,Mainstream
262050,MIDAGE SINGLES/COUPLES,Mainstream
262034,MIDAGE SINGLES/COUPLES,Budget
262018,MIDAGE SINGLES/COUPLES,Premium
262015,MIDAGE SINGLES/COUPLES,Premium
261373,MIDAGE SINGLES/COUPLES,Premium
261363,MIDAGE SINGLES/COUPLES,Mainstream
261349,MIDAGE SINGLES/COUPLES,Premium
261329,MIDAGE SINGLES/COUPLES,Mainstream
261321,MIDAGE SINGLES/COUPLES,Premium
261317,MIDAGE SINGLES/COUPLES,Mainstream
261316,MIDAGE SINGLES/COUPLES,Mainstream
261308,MIDAGE SINGLES/COUPLES,Budget
261304,MIDAGE SINGLES/COUPLES,Budget
261295,MIDAGE SINGLES/COUPLES,Mainstream
261281,MIDAGE SINGLES/COUPLES,Premium
261271,MIDAGE SINGLES/COUPLES,Mainstream
261267,MIDAGE SINGLES/COUPLES,Budget
261257,MIDAGE SINGLES/COUPLES,Mainstream
261235,MIDAGE SINGLES/COUPLES,Premium
261232,MIDAGE SINGLES/COUPLES,Mainstream
261215,MIDAGE SINGLES/COUPLES,Mainstream
261201,MIDAGE SINGLES/COUPLES,Budget
261200,MIDAGE SINGLES/COUPLES,Premium
261172,MIDAGE SINGLES/COUPLES,Budget
261159,MIDAGE SINGLES/COUPLES,Premium
261154,MIDAGE SINGLES/COUPLES,Mainstream
261143,MIDAGE SINGLES/COUPLES,Mainstream
261131,MIDAGE SINGLES/COUPLES,Premium
261121,MIDAGE SINGLES/COUPLES,Budget
261107,MIDAGE SINGLES/COUPLES,Mainstream
261091,MIDAGE SINGLES/COUPLES,Mainstream
261088,MIDAGE SINGLES/COUPLES,Mainstream
261069,MIDAGE SINGLES/COUPLES,Premium
261042,MIDAGE SINGLES/COUPLES,Premium
261040,MIDAGE SINGLES/COUPLES,Premium
261030,MIDAGE SINGLES/COUPLES,Mainstream
261024,MIDAGE SINGLES/COUPLES,Mainstream
261017,MIDAGE SINGLES/COUPLES,Budget
261008,MIDAGE SINGLES/COUPLES,Budget
261006,MIDAGE SINGLES/COUPLES,Budget
261005,MIDAGE SINGLES/COUPLES,Mainstream
260373,MIDAGE SINGLES/COUPLES,Budget
260372,MIDAGE SINGLES/COUPLES,Budget
260359,MIDAGE SINGLES/COUPLES,Premium
260357,MIDAGE SINGLES/COUPLES,Premium
260352,MIDAGE SINGLES/COUPLES,Mainstream
260346,MIDAGE SINGLES/COUPLES,Premium
260342,MIDAGE SINGLES/COUPLES,Premium
260325,MIDAGE SINGLES/COUPLES,Budget
260287,MIDAGE SINGLES/COUPLES,Mainstream
260285,MIDAGE SINGLES/COUPLES,Premium
260280,MIDAGE SINGLES/COUPLES,Mainstream
260279,MIDAGE SINGLES/COUPLES,Premium
260270,MIDAGE SINGLES/COUPLES,Mainstream
260260,MIDAGE SINGLES/COUPLES,Budget
260230,MIDAGE SINGLES/COUPLES,Budget
260218,MIDAGE SINGLES/COUPLES,Premium
260210,MIDAGE SINGLES/COUPLES,Premium
260203,MIDAGE SINGLES/COUPLES,Mainstream
260201,MIDAGE SINGLES/COUPLES,Budget
260190,MIDAGE SINGLES/COUPLES,Mainstream
260181,MIDAGE SINGLES/COUPLES,Mainstream
260159,MIDAGE SINGLES/COUPLES,Mainstream
260151,MIDAGE SINGLES/COUPLES,Mainstream
260147,MIDAGE SINGLES/COUPLES,Mainstream
260143,MIDAGE SINGLES/COUPLES,Budget
260138,MIDAGE SINGLES/COUPLES,Premium
260137,MIDAGE SINGLES/COUPLES,Mainstream
260116,MIDAGE SINGLES/COUPLES,Mainstream
260107,MIDAGE SINGLES/COUPLES,Mainstream
260095,MIDAGE SINGLES/COUPLES,Mainstream
260088,MIDAGE SINGLES/COUPLES,Premium
260075,MIDAGE SINGLES/COUPLES,Mainstream
260073,MIDAGE SINGLES/COUPLES,Premium
260066,MIDAGE SINGLES/COUPLES,Premium
260065,MIDAGE SINGLES/COUPLES,Mainstream
260060,MIDAGE SINGLES/COUPLES,Mainstream
260027,MIDAGE SINGLES/COUPLES,Premium
259233,MIDAGE SINGLES/COUPLES,Mainstream
259192,MIDAGE SINGLES/COUPLES,Premium
259182,MIDAGE SINGLES/COUPLES,Mainstream
259181,MIDAGE SINGLES/COUPLES,Mainstream
259138,MIDAGE SINGLES/COUPLES,Premium
259114,MIDAGE SINGLES/COUPLES,Mainstream
259109,MIDAGE SINGLES/COUPLES,Mainstream
259104,MIDAGE SINGLES/COUPLES,Mainstream
259099,MIDAGE SINGLES/COUPLES,Budget
259085,MIDAGE SINGLES/COUPLES,Budget
259074,MIDAGE SINGLES/COUPLES,Budget
259060,MIDAGE SINGLES/COUPLES,Mainstream
259050,MIDAGE SINGLES/COUPLES,Premium
259008,MIDAGE SINGLES/COUPLES,Premium
258460,MIDAGE SINGLES/COUPLES,Premium
258386,MIDAGE SINGLES/COUPLES,Mainstream
258033,MIDAGE SINGLES/COUPLES,Premium
257258,MIDAGE SINGLES/COUPLES,Budget
257251,MIDAGE SINGLES/COUPLES,Budget
257246,MIDAGE SINGLES/COUPLES,Mainstream
257241,MIDAGE SINGLES/COUPLES,Budget
257231,MIDAGE SINGLES/COUPLES,Budget
257224,MIDAGE SINGLES/COUPLES,Budget
257221,MIDAGE SINGLES/COUPLES,Mainstream
257216,MIDAGE SINGLES/COUPLES,Mainstream
257210,MIDAGE SINGLES/COUPLES,Budget
257184,MIDAGE SINGLES/COUPLES,Mainstream
257179,MIDAGE SINGLES/COUPLES,Mainstream
257168,MIDAGE SINGLES/COUPLES,Budget
257165,MIDAGE SINGLES/COUPLES,Budget
257164,MIDAGE SINGLES/COUPLES,Budget
257161,MIDAGE SINGLES/COUPLES,Premium
257146,MIDAGE SINGLES/COUPLES,Premium
257135,MIDAGE SINGLES/COUPLES,Premium
257124,MIDAGE SINGLES/COUPLES,Mainstream
257121,MIDAGE SINGLES/COUPLES,Budget
257120,MIDAGE SINGLES/COUPLES,Premium
257119,MIDAGE SINGLES/COUPLES,Mainstream
257087,MIDAGE SINGLES/COUPLES,Mainstream
257076,MIDAGE SINGLES/COUPLES,Budget
257071,MIDAGE SINGLES/COUPLES,Mainstream
257070,MIDAGE SINGLES/COUPLES,Mainstream
257066,MIDAGE SINGLES/COUPLES,Mainstream
257058,MIDAGE SINGLES/COUPLES,Budget
257052,MIDAGE SINGLES/COUPLES,Premium
257041,MIDAGE SINGLES/COUPLES,Premium
257030,MIDAGE SINGLES/COUPLES,Premium
257004,MIDAGE SINGLES/COUPLES,Premium
256457,MIDAGE SINGLES/COUPLES,Mainstream
256446,MIDAGE SINGLES/COUPLES,Premium
256445,MIDAGE SINGLES/COUPLES,Premium
256429,MIDAGE SINGLES/COUPLES,Premium
256428,MIDAGE SINGLES/COUPLES,Mainstream
256394,MIDAGE SINGLES/COUPLES,Budget
256379,MIDAGE SINGLES/COUPLES,Premium
256377,MIDAGE SINGLES/COUPLES,Budget
256376,MIDAGE SINGLES/COUPLES,Mainstream
256368,MIDAGE SINGLES/COUPLES,Mainstream
256367,MIDAGE SINGLES/COUPLES,Budget
256336,MIDAGE SINGLES/COUPLES,Mainstream
256326,MIDAGE SINGLES/COUPLES,Premium
256319,MIDAGE SINGLES/COUPLES,Premium
256309,MIDAGE SINGLES/COUPLES,Mainstream
256303,MIDAGE SINGLES/COUPLES,Premium
256289,MIDAGE SINGLES/COUPLES,Premium
256259,MIDAGE SINGLES/COUPLES,Mainstream
256252,MIDAGE SINGLES/COUPLES,Mainstream
256241,MIDAGE SINGLES/COUPLES,Mainstream
256227,MIDAGE SINGLES/COUPLES,Premium
256185,MIDAGE SINGLES/COUPLES,Budget
256176,MIDAGE SINGLES/COUPLES,Budget
256156,MIDAGE SINGLES/COUPLES,Budget
256150,MIDAGE SINGLES/COUPLES,Budget
256138,MIDAGE SINGLES/COUPLES,Budget
256125,MIDAGE SINGLES/COUPLES,Budget
256091,MIDAGE SINGLES/COUPLES,Mainstream
256089,MIDAGE SINGLES/COUPLES,Mainstream
256086,MIDAGE SINGLES/COUPLES,Premium
256084,MIDAGE SINGLES/COUPLES,Premium
256076,MIDAGE SINGLES/COUPLES,Premium
256071,MIDAGE SINGLES/COUPLES,Mainstream
256052,MIDAGE SINGLES/COUPLES,Budget
256046,MIDAGE SINGLES/COUPLES,Mainstream
256041,MIDAGE SINGLES/COUPLES,Budget
256032,MIDAGE SINGLES/COUPLES,Budget
256015,MIDAGE SINGLES/COUPLES,Mainstream
256010,MIDAGE SINGLES/COUPLES,Mainstream
256005,MIDAGE SINGLES/COUPLES,Budget
255453,MIDAGE SINGLES/COUPLES,Mainstream
255451,MIDAGE SINGLES/COUPLES,Premium
255433,MIDAGE SINGLES/COUPLES,Budget
255432,MIDAGE SINGLES/COUPLES,Premium
255428,MIDAGE SINGLES/COUPLES,Premium
255416,MIDAGE SINGLES/COUPLES,Premium
255409,MIDAGE SINGLES/COUPLES,Premium
255405,MIDAGE SINGLES/COUPLES,Mainstream
255400,MIDAGE SINGLES/COUPLES,Premium
255392,MIDAGE SINGLES/COUPLES,Premium
255379,MIDAGE SINGLES/COUPLES,Mainstream
255330,MIDAGE SINGLES/COUPLES,Budget
255326,MIDAGE SINGLES/COUPLES,Mainstream
255319,MIDAGE SINGLES/COUPLES,Premium
255309,MIDAGE SINGLES/COUPLES,Mainstream
255306,MIDAGE SINGLES/COUPLES,Premium
255291,MIDAGE SINGLES/COUPLES,Premium
255290,MIDAGE SINGLES/COUPLES,Premium
255276,MIDAGE SINGLES/COUPLES,Budget
255270,MIDAGE SINGLES/COUPLES,Premium
255238,MIDAGE SINGLES/COUPLES,Premium
255236,MIDAGE SINGLES/COUPLES,Budget
255219,MIDAGE SINGLES/COUPLES,Budget
255213,MIDAGE SINGLES/COUPLES,Premium
255212,MIDAGE SINGLES/COUPLES,Premium
255209,MIDAGE SINGLES/COUPLES,Premium
255206,MIDAGE SINGLES/COUPLES,Budget
255205,MIDAGE SINGLES/COUPLES,Mainstream
255192,MIDAGE SINGLES/COUPLES,Budget
255188,MIDAGE SINGLES/COUPLES,Premium
255176,MIDAGE SINGLES/COUPLES,Budget
255170,MIDAGE SINGLES/COUPLES,Premium
255146,MIDAGE SINGLES/COUPLES,Mainstream
255134,MIDAGE SINGLES/COUPLES,Premium
255125,MIDAGE SINGLES/COUPLES,Premium
255112,MIDAGE SINGLES/COUPLES,Budget
255104,MIDAGE SINGLES/COUPLES,Mainstream
255080,MIDAGE SINGLES/COUPLES,Premium
255066,MIDAGE SINGLES/COUPLES,Budget
255060,MIDAGE SINGLES/COUPLES,Premium
255052,MIDAGE SINGLES/COUPLES,Budget
255035,MIDAGE SINGLES/COUPLES,Premium
254483,MIDAGE SINGLES/COUPLES,Premium
254473,MIDAGE SINGLES/COUPLES,Budget
254432,MIDAGE SINGLES/COUPLES,Budget
254427,MIDAGE SINGLES/COUPLES,Premium
254426,MIDAGE SINGLES/COUPLES,Premium
254393,MIDAGE SINGLES/COUPLES,Mainstream
254385,MIDAGE SINGLES/COUPLES,Budget
254360,MIDAGE SINGLES/COUPLES,Mainstream
254350,MIDAGE SINGLES/COUPLES,Mainstream
254348,MIDAGE SINGLES/COUPLES,Premium
254323,MIDAGE SINGLES/COUPLES,Premium
254290,MIDAGE SINGLES/COUPLES,Mainstream
254288,MIDAGE SINGLES/COUPLES,Budget
254254,MIDAGE SINGLES/COUPLES,Mainstream
254196,MIDAGE SINGLES/COUPLES,Premium
254185,MIDAGE SINGLES/COUPLES,Mainstream
254123,MIDAGE SINGLES/COUPLES,Mainstream
254113,MIDAGE SINGLES/COUPLES,Mainstream
254109,MIDAGE SINGLES/COUPLES,Premium
254103,MIDAGE SINGLES/COUPLES,Budget
254096,MIDAGE SINGLES/COUPLES,Budget
254083,MIDAGE SINGLES/COUPLES,Premium
254079,MIDAGE SINGLES/COUPLES,Mainstream
254062,MIDAGE SINGLES/COUPLES,Premium
254020,MIDAGE SINGLES/COUPLES,Budget
254008,MIDAGE SINGLES/COUPLES,Budget
254005,MIDAGE SINGLES/COUPLES,Premium
254000,MIDAGE SINGLES/COUPLES,Mainstream
253376,MIDAGE SINGLES/COUPLES,Mainstream
253375,MIDAGE SINGLES/COUPLES,Budget
253353,MIDAGE SINGLES/COUPLES,Mainstream
253326,MIDAGE SINGLES/COUPLES,Mainstream
253319,MIDAGE SINGLES/COUPLES,Budget
253312,MIDAGE SINGLES/COUPLES,Budget
253307,MIDAGE SINGLES/COUPLES,Premium
253295,MIDAGE SINGLES/COUPLES,Budget
253275,MIDAGE SINGLES/COUPLES,Premium
253249,MIDAGE SINGLES/COUPLES,Mainstream
253247,MIDAGE SINGLES/COUPLES,Budget
253246,MIDAGE SINGLES/COUPLES,Mainstream
253244,MIDAGE SINGLES/COUPLES,Premium
253230,MIDAGE SINGLES/COUPLES,Mainstream
253223,MIDAGE SINGLES/COUPLES,Budget
253211,MIDAGE SINGLES/COUPLES,Mainstream
253183,MIDAGE SINGLES/COUPLES,Mainstream
253158,MIDAGE SINGLES/COUPLES,Premium
253156,MIDAGE SINGLES/COUPLES,Budget
253135,MIDAGE SINGLES/COUPLES,Premium
253133,MIDAGE SINGLES/COUPLES,Mainstream
253108,MIDAGE SINGLES/COUPLES,Mainstream
253085,MIDAGE SINGLES/COUPLES,Mainstream
253032,MIDAGE SINGLES/COUPLES,Budget
253026,MIDAGE SINGLES/COUPLES,Mainstream
253013,MIDAGE SINGLES/COUPLES,Mainstream
251343,MIDAGE SINGLES/COUPLES,Budget
251336,MIDAGE SINGLES/COUPLES,Mainstream
251334,MIDAGE SINGLES/COUPLES,Budget
251324,MIDAGE SINGLES/COUPLES,Mainstream
251321,MIDAGE SINGLES/COUPLES,Premium
251315,MIDAGE SINGLES/COUPLES,Mainstream
251311,MIDAGE SINGLES/COUPLES,Mainstream
251266,MIDAGE SINGLES/COUPLES,Mainstream
251258,MIDAGE SINGLES/COUPLES,Mainstream
251255,MIDAGE SINGLES/COUPLES,Premium
251229,MIDAGE SINGLES/COUPLES,Mainstream
251222,MIDAGE SINGLES/COUPLES,Mainstream
251210,MIDAGE SINGLES/COUPLES,Budget
251207,MIDAGE SINGLES/COUPLES,Premium
251189,MIDAGE SINGLES/COUPLES,Mainstream
251185,MIDAGE SINGLES/COUPLES,Mainstream
251149,MIDAGE SINGLES/COUPLES,Mainstream
251148,MIDAGE SINGLES/COUPLES,Mainstream
251136,MIDAGE SINGLES/COUPLES,Budget
251123,MIDAGE SINGLES/COUPLES,Mainstream
251117,MIDAGE SINGLES/COUPLES,Budget
251115,MIDAGE SINGLES/COUPLES,Premium
251091,MIDAGE SINGLES/COUPLES,Mainstream
251084,MIDAGE SINGLES/COUPLES,Mainstream
251075,MIDAGE SINGLES/COUPLES,Premium
